,case,model,testing_mse,beta_specificity,beta_sensitivity,beta_mse
0,1,spline_Lasso,1.0151865191134093,0.9154929577464789,0.5,0.21308165778314933
1,1,spline_Lasso/Thresh,2.654882483683388,0.8732394366197183,0.375,0.21255087520346025
2,1,spline_MCP,0.35561418343296,0.9577464788732394,0.625,0.07600163288852134
3,1,spline_MCP/Thresh,11.618127340271561,0.676056338028169,0.0,0.09498195365032053
4,1,smooth_Lasso,0.5955211777990419,0.9436619718309859,0.375,0.11646603254797519
5,1,smooth_Lasso/Thresh,0.5955211777990419,0.9436619718309859,0.375,0.11646603254797519
6,1,fused_Lasso,0.3061073309809101,0.9014084507042254,0.375,0.2991232773960943
7,1,fused_Lasso/Thresh,0.6977659086431575,0.8873239436619719,0.375,0.29850768368527136
8,2,spline_Lasso,0.8493514681474025,0.9295774647887324,0.875,0.17315141641995824
9,2,spline_Lasso/Thresh,2.2413942764772528,0.9014084507042254,0.75,0.19301263674151198
10,2,spline_MCP,4.185756705187262,0.8732394366197183,0.25,0.019438531103115497
11,2,spline_MCP/Thresh,15.341910577391154,0.7605633802816901,0.375,0.11730378295188809
12,2,smooth_Lasso,1.8707319963004123,0.9436619718309859,0.25,0.07786114955227384
13,2,smooth_Lasso/Thresh,0.636605494250936,0.9295774647887324,0.375,0.07035116724115315
14,2,fused_Lasso,0.2965449393077754,0.8309859154929577,0.875,0.9082966093006515
15,2,fused_Lasso/Thresh,6.2132385092129,0.8028169014084507,0.875,0.9057980658730691
