,case,model,testing_mse,beta_specificity,beta_sensitivity,beta_mse
0,1,spline_Lasso,1.0548629612767508,0.926760563380282,0.4312500000000001,0.07697221906508978
1,1,spline_Lasso/Thresh,1.3318967226720164,0.9232394366197186,0.39375000000000004,0.07691070458310188
2,1,spline_MCP,0.3094762224547698,0.9077464788732397,0.35000000000000003,0.15158357346666243
3,1,spline_MCP/Thresh,0.9237120221543561,0.9007042253521129,0.36250000000000004,0.15083045587278962
4,1,smooth_Lasso,0.8838664201756962,0.924647887323944,0.3625,0.08573771099322847
5,1,smooth_Lasso/Thresh,0.9139006562212432,0.9218309859154933,0.3375,0.08573987615776663
6,1,fused_Lasso,1.0571947048616095,0.8683098591549298,0.575,0.29484857401394227
7,1,fused_Lasso/Thresh,1.2848673218920823,0.8556338028169016,0.5375,0.2947535189964751
8,2,spline_Lasso,1.1617668012921398,0.944366197183099,0.5437500000000001,0.04707370199309149
9,2,spline_Lasso/Thresh,1.1294709202050832,0.9415492957746483,0.575,0.04279698483083718
10,2,spline_MCP,0.17071755937071098,0.8978873239436622,0.5187499999999999,0.14809410382807023
11,2,spline_MCP/Thresh,2.998418238835202,0.8830985915492959,0.49374999999999997,0.1461396648732466
12,2,smooth_Lasso,1.0729170260059906,0.9535211267605638,0.35624999999999996,0.022612558272451896
13,2,smooth_Lasso/Thresh,1.1379007859836392,0.9500000000000004,0.34374999999999994,0.02365465485181844
14,2,fused_Lasso,0.5788374619008461,0.8521126760563379,0.5875000000000001,0.5310094232450838
15,2,fused_Lasso/Thresh,6.8073927419408555,0.8267605633802817,0.47500000000000003,0.52713800945158
